code,pref,city,prefKana,cityKana,status,changeDate,newCode,newName,newNameKana,changeReason
01000,北海道,,ほっかいどう,,,,01000,,,
01100,北海道,札幌市,ほっかいどう,さっぽろし,,,01100,,,
01101,北海道,札幌市中央区,ほっかいどう,さっぽろしちゅうおうく,,,01101,,,
01102,北海道,札幌市北区,ほっかいどう,さっぽろしきたく,,,01102,,,
01103,北海道,札幌市東区,ほっかいどう,さっぽろしひがしく,,,01103,,,
01104,北海道,札幌市白石区,ほっかいどう,さっぽろししろいしく,,,01104,,,
01105,北海道,札幌市豊平区,ほっかいどう,さっぽろしとよひらく,,,01105,,,
01106,北海道,札幌市南区,ほっかいどう,さっぽろしみなみく,,,01106,,,
01107,北海道,札幌市西区,ほっかいどう,さっぽろしにしく,,,01107,,,
01108,北海道,札幌市厚別区,ほっかいどう,さっぽろしあつべつく,,,01108,,,
01109,北海道,札幌市手稲区,ほっかいどう,さっぽろしていねく,,,01109,,,
01110,北海道,札幌市清田区,ほっかいどう,さっぽろしきよたく,,,01110,,,
01202,北海道,函館市,ほっかいどう,はこだてし,,,01202,,,
01203,北海道,小樽市,ほっかいどう,おたるし,,,01203,,,
01204,北海道,旭川市,ほっかいどう,あさひかわし,,,01204,,,
01205,北海道,室蘭市,ほっかいどう,むろらんし,,,01205,,,
01206,北海道,釧路市,ほっかいどう,くしろし,,,01206,,,
01207,北海道,帯広市,ほっかいどう,おびひろし,,,01207,,,
01208,北海道,北見市,ほっかいどう,きたみし,,,01208,,,
01209,北海道,夕張市,ほっかいどう,ゆうばりし,,,01209,,,
01210,北海道,岩見沢市,ほっかいどう,いわみざわし,,,01210,,,
01211,北海道,網走市,ほっかいどう,あばしりし,,,01211,,,
01212,北海道,留萌市,ほっかいどう,るもいし,,,01212,,,
01213,北海道,苫小牧市,ほっかいどう,とまこまいし,,,01213,,,
01214,北海道,稚内市,ほっかいどう,わっかないし,,,01214,,,
01215,北海道,美唄市,ほっかいどう,びばいし,,,01215,,,
01216,北海道,芦別市,ほっかいどう,あしべつし,,,01216,,,
01217,北海道,江別市,ほっかいどう,えべつし,,,01217,,,
01218,北海道,赤平市,ほっかいどう,あかびらし,,,01218,,,
01219,北海道,紋別市,ほっかいどう,もんべつし,,,01219,,,
01220,北海道,士別市,ほっかいどう,しべつし,,,01220,,,
01221,北海道,名寄市,ほっかいどう,なよろし,,,01221,,,
01222,北海道,三笠市,ほっかいどう,みかさし,,,01222,,,
01223,北海道,根室市,ほっかいどう,ねむろし,,,01223,,,
01224,北海道,千歳市,ほっかいどう,ちとせし,,,01224,,,
01225,北海道,滝川市,ほっかいどう,たきかわし,,,01225,,,
01226,北海道,砂川市,ほっかいどう,すながわし,,,01226,,,
01227,北海道,歌志内市,ほっかいどう,うたしないし,,,01227,,,
01228,北海道,深川市,ほっかいどう,ふかがわし,,,01228,,,
01229,北海道,富良野市,ほっかいどう,ふらのし,,,01229,,,
01230,北海道,登別市,ほっかいどう,のぼりべつし,,,01230,,,
01231,北海道,恵庭市,ほっかいどう,えにわし,,,01231,,,
01233,北海道,伊達市,ほっかいどう,だてし,,,01233,,,
01234,北海道,北広島市,ほっかいどう,きたひろしまし,,,01234,,,
01235,北海道,石狩市,ほっかいどう,いしかりし,,,01235,,,
01236,北海道,北斗市,ほっかいどう,ほくとし,,,01236,,,
01303,北海道,当別町,ほっかいどう,とうべつちょう,,,01303,,,
01304,北海道,新篠津村,ほっかいどう,しんしのつむら,,,01304,,,
01305,北海道,厚田村,ほっかいどう,あつたむら,欠番,2005-10-01,01235,石狩市,いしかりし,合併後は石狩市
01306,北海道,浜益村,ほっかいどう,はまますむら,欠番,2005-10-01,01235,石狩市,いしかりし,合併後は石狩市
01331,北海道,松前町,ほっかいどう,まつまえちょう,,,01331,,,
01332,北海道,福島町,ほっかいどう,ふくしまちょう,,,01332,,,
01333,北海道,知内町,ほっかいどう,しりうちちょう,,,01333,,,
01334,北海道,木古内町,ほっかいどう,きこないちょう,,,01334,,,
01335,北海道,上磯町,ほっかいどう,かみいそちょう,欠番,2006-02-01,01236,北斗市,ほくとし,合併後は北斗市
01336,北海道,大野町,ほっかいどう,おおのちょう,欠番,2006-02-01,01236,北斗市,ほくとし,合併後は北斗市
01337,北海道,七飯町,ほっかいどう,ななえちょう,,,01337,,,
01343,北海道,鹿部町,ほっかいどう,しかべちょう,,,01343,,,
01344,北海道,砂原町,ほっかいどう,さわらちょう,欠番,2005-04-01,01345,森町,もりまち,合併後は森町
01345,北海道,森町,ほっかいどう,もりまち,,,01345,,,
01346,北海道,八雲町,ほっかいどう,やくもちょう,,,01346,,,
01347,北海道,長万部町,ほっかいどう,おしゃまんべちょう,,,01347,,,
01361,北海道,江差町,ほっかいどう,えさしちょう,,,01361,,,
01362,北海道,上ノ国町,ほっかいどう,かみのくにちょう,,,01362,,,
01363,北海道,厚沢部町,ほっかいどう,あっさぶちょう,,,01363,,,
