qid,nation,capital
Q1863,AD,1
Q1519,AE,1
Q612,AE,
Q5838,AF|AFX,1
Q36262,AG,1
Q30994,AI,1
Q19689,AL,1
Q1953,AM,1
Q3897,AO,1
Q1486,AR,1
Q44210,AR,
Q44237,AR,
Q52535,AR,
Q51678,AS,1
Q1741,AT,1
Q3114,AU,1
Q3130,AU,
Q3141,AU,
Q3183,AU,
Q34932,AU,
Q5112,AU,
Q131243,AW,1
Q48329,AX,1
Q9248,AZ,1
Q47837,B28|EH,1
Q168652,B30,1
Q40811,B35,1
Q132572,B36,1
Q79863,B37,1
Q129352,B38,1
Q19566,B89,1
Q11194,BA,1
Q36168,BB,1
Q1354,BD,1
Q376749,BD,
Q239,BE,1
Q240,BE,1
Q3777,BF,1
Q472,BG,1
Q3882,BH,1
Q167551,BI,1
Q3799,BJ,1
Q43595,BJ,
Q34112,BL,1
Q30985,BM,1
Q9279,BN,1
Q1491,BO,
Q170688,BO,
Q2907,BO,1
Q12829733,BR,
Q168888,BR,
Q171617,BR,
Q174,BR,
Q184409,BR,
Q2844,BR,1
Q28441,BR,
Q36947,BR,
Q40236,BR,
Q40269,BR,
Q42800,BR,
Q43463,BR,
Q4361,BR,
Q48344,BR,
Q83114,BR,
Q83189,BR,
Q8678,BR,
Q2467,BS,1
Q9270,BT,1
Q3919,BW,1
Q2280,BY,1
Q3043,BZ,1
Q43070,C02,1
Q134279,C03,1
Q172,CA,
Q1930,CA,1
Q340,CA,
Q36312,CA,
Q48675,CC,1
Q3838,CD,1
Q3832,CF,1
Q3844,CG,1
Q70,CH,1
Q1515,CI,
Q3768,CI,1
Q170482,CK,1
Q2887,CL,1
Q132830,CM,
Q3808,CM,1
Q11720,CN,
Q11725,CN,
Q11736,CN,
Q11746,CN,
Q147187,CN,
Q15174,CN,
Q16572,CN,
Q16666,CN,
Q16959,CN,
Q170247,CN,
Q170322,CN,
Q171943,CN,
Q174091,CN,
Q178945,CN,
Q179608,CN,
Q182852,CN,
Q183584,CN,
Q185684,CN,
Q187136,CN,
Q192271,CN,
Q198370,CN,
Q205922,CN,
Q207030,CN,
Q210493,CN,
Q217646,CN,
Q217681,CN,
Q217698,CN,
Q29015,CN,
Q30002,CN,
Q30340,CN,
Q304848,CN,
Q332753,CN,
Q360178,CN,
Q360643,CN,
Q360702,CN,
Q360769,CN,
Q363391,CN,
Q372791,CN,
Q373101,CN,
Q373346,CN,
Q38968,CN,
Q404763,CN,
Q404817,CN,
Q404873,CN,
Q416544,CN,
Q416669,CN,
Q425492,CN,
Q426130,CN,
Q42622,CN,
Q42635,CN,
