key,qid,type,region,name_en,exist,sovereignt,territory,claim
B00,Q1162,Disputed,3,Arunachal Pradesh,false,IN,,CN
B01,Q5308408,Disputed,3,Tirpani Valleys,false,IN,,CN
B02,Q5308408,Disputed,3,Bara Hotii Valleys,false,IN,,CN
B03,Q1185266,Disputed,3,Demchok,false,IN,,CN
B04,Q5308408,Disputed,3,Samdu Valleys,false,IN,,CN
B05,Q2746364,Disputed,3,Jammu and Kashmir,false,IN,,PK
B06,Q1819167,Disputed,3,Trans-Karakoram Tract,false,CN,,IN
B07,Q230830,Disputed,3,Aksai Chin,false,CN,,IN
B08,Q200697,Disputed,3,Gilgit-Baltistan,false,PK,,IN
B09,Q200130,Disputed,3,Azad Kashmir,false,PK,,IN
B10,Q331990,Overlay,3,South Korean Demilitarized Zone,false,KR,,
B11,Q331990,Overlay,3,North Korean Demilitarized Zone,false,KP,,
B12,Q9648,Disputed,5,Falkland Islands,false,GB,FK,AR
B13,Q336494,Disputed,2,Abyei,false,SD,,SS
B14,Q2545638,Disputed,5,Lawa Headwaters,false,FR,GF,SR
B15,Q5671580,Disputed,5,Tigri Area,false,GY,,SR
B16,Q83210,Indeterminate,3,Golan Heights,false,IL,,SY
B17,Q973527,Disputed,2,Ilemi Triangle,false,KE,,SS
B18,Q29460,Disputed,3,Senkaku Islands,false,JP,,CN|TW
B19,Q6250,Disputed,2,Western Sahara,true,MA,,B28
B20,Q23681,Disputed,3,Turkish Republic of Northern Cyprus,true,B20,,CY
B21,Q681389,Disputed,4,Hans Island,false,DK,GL,CA
B22,Q17063,Disputed,2,Mayotte,false,FR,YT,KM
B23,Q237034,Geo subunit,2,Juan de Nova Island,false,FR,TF,MG
B24,Q236601,Geo subunit,2,Glorioso Islands,false,FR,TF,MG
B25,Q234208,Geo subunit,2,Tromelin Island,false,FR,TF,MU|SC
B26,Q193089,Geo subunit,2,Europa Island,false,FR,TF,MG
B27,Q220601,Geo subunit,2,Bassas da India,false,FR,TF,MG
B28,Q6250,Indeterminate,2,Western Sahara,true,B28,,MA
B29,Q80389,Disputed,3,Kuril Islands,false,RU,,JP
B30,Q34754,Disputed,2,Somaliland,true,B30,,SO
