qid,category,name_en
Q130135,range,Atlas Mountains
Q842139,range,Annamite Range
Q12431,range,Pyrenees
Q1286,range,Alps
Q1285,range,Apennines
Q5477,range,Caucasus Mountains
Q167021,range,Zagros Mountains
Q5451,range,Himalayas
Q5463,range,Rocky Mountains
Q5456,range,Andes
Q35647,range,Pennines
Q186547,range,Scandinavian Mountains
Q35600,range,Ural Mountains
Q5474,range,Tianshan Mountains
Q183295,range,Drakensberg
Q192583,range,Great Dividing Range
Q93332,range,Appalachian Mountains
Q5955,range,Altai Mountains
Q187871,range,Kunlun Mountains
Q863798,range,Qinling
Q5472,range,Hindu Kush
Q26777,range,Sierra Nevada
Q156684,range,Alaska Range
Q765874,range,Maya Mountains
Q929910,range,Brooks Range
Q1719533,range,Sierras de Córdoba
Q1288,range,Carpathians
Q217202,range,Southern Carpathians
Q1124584,range,Sierra Madre Occidental
Q203239,range,Sayan Mountains
Q214284,range,Stanovoy Range
Q170427,range,Balkan Mountains
Q215917,range,Verkhoyansk Range
Q513,peak,Mount Everest
Q43512,peak,K2
Q82019,peak,Kangchenjunga
Q168702,peak,Lhotse
Q169986,peak,Makalu
Q170089,peak,Cho Oyu
Q165440,peak,Dhaulagiri
Q170070,peak,Manaslu
Q130736,peak,Nanga Parbat
Q16466024,peak,Annapurna I
Q39231,peak,Mount Fuji
Q60967,peak,Mount Kinabalu
Q40758,peak,Mount Damavand
Q72303,peak,Mount Ararat
Q107635,peak,Mount Paektu
Q216059,peak,Mount Tai
Q494645,peak,Hallasan
Q1451,peak,Mount Pinatubo
Q1484,peak,Mayon
Q82613,peak,Krakatoa
Q377485,peak,Mount Sinai
Q1045888,peak,Puncak Jaya
Q210252,peak,Klyuchevskaya Sopka
Q229107,peak,Mount Kailash
Q583,peak,Mont Blanc
Q1374,peak,Matterhorn
Q43105,peak,Mount Elbrus
Q16990,peak,Mount Etna
Q524,peak,Mount Vesuvius
Q80344,peak,Mount Olympus
Q3375,peak,Zugspitze
Q104674,peak,Ben Nevis
Q3388,peak,Grossglockner
Q15312,peak,Jungfrau
Q4425,peak,Eiger
