"アイスランド","","レイキャヴィーク","Iceland","","Reykjavik",1,"",1698868,"","",""
"アイルランド","","ダブリン","Ireland","","Dublin",1,"",6352,"","",""
"アゼルバイジャン","_共和国","バクー","Azerbaijan","Republic of _","Baku",3,"",26507,"","",""
"アフガニスタン","_・イスラム首長国","カーブル","Afghanistan","Islamic Emirate of _","Kabul",3,"",4512,"","",""
"アフガニスタン・イスラム共和国","","カーブル","Islamic Republic of Afghanistan","","Kabul",3,"",97066,"","アフガニスタン",""
"アブハジア","","スフミ","Abkhazia","","Sukhumi",3,"",184941,"","ジョージア",""
"アメリカ","_合衆国","ワシントンD.C.","United States of America","_","Washington, DC",4,"",1698838,"","",""
"アラブ首長国連邦","_(UAE)","アブダビ","United Arab Emirates","_","Abu Dhabi",3,"",6406,"","",""
"アルジェリア","_民主人民共和国","アルジェ","Algeria","People's Democratic Republic of _","Algiers",2,"",6953,"","",""
"アルゼンチン","_共和国","ブエノスアイレス","Argentina","_(Argentine Republic)","Buenos Aires",5,"",2635,"","",""
"アルツァフ共和国","","ステパナケルト","Artsakh","","Stepanakert",3,"",1881201,"","アゼルバイジャン",""
"アルバ","","オラニエスタッド","Aruba","","Oranjestad",4,"",47181,"オランダ","",""
"アルバニア","_共和国","ティラナ","Albania","Republic of _","Tirana",1,"",8853,"","",""
"アルメニア","_共和国","エレバン","Armenia","Republic of _","Yerevan",3,"",6364,"","",""
"アンギラ","","バレー","Anguilla","","The Valley",4,"",148506,"イギリス","",""
"アンゴラ","_共和国","ルアンダ","Angola","Republic of _","Luanda",2,"",6954,"","",""
"アンティグア・バーブーダ","","セントジョンズ","Antigua and Barbuda","","Saint John's",4,"Antigua and Barb.",38571,"","",""
"アンドラ","_公国","アンドラ・ラ・ベリャ","Andorra","Principality of _","Andorra la Vella",1,"",27048,"","",""
"イエメン","_共和国","サナア","Yemen","Republic of _","Sanaa",3,"",6336,"","",""
"イギリス","_(グレートブリテン及び北アイルランド連合王国)","ロンドン","United Kingdom","_ of Great Britain and Northern Ireland","London",1,"",1698893,"","",""
"イギリス領インド洋地域","","ヴィクトリア","British Indian Ocean Territory","","Victoria",3,"Br. Indian Ocean Ter.",191996,"イギリス","",""
"イスラエル","_国","エルサレム","Israel","State of _","Jerusalem",3,"",4361,"","",""
"イタリア","_共和国","ローマ","Italy","_(Italian Republic)","Rome",1,"",3374,"","",""
"イラク","_共和国","バグダード","Iraq","Republic of _","Baghdad",3,"",101,"","",""
"イラン","_・イスラム共和国","テヘラン","Iran","Islamic Republic of _","Tehran",3,"",102,"","",""
"インド","","デリー","India","","New Delhi",3,"",2009,"","",""
"インドネシア","_共和国","ジャカルタ","Indonesia","Republic of _","Jakarta",3,"",100,"","",""
"ウォリス・フツナ","","マタウトゥ","Wallis and Futuna Islands","","Mata-Utu",6,"Wallis and Futuna Is.",28179,"フランス","",""
"ウガンダ","_共和国","カンパラ","Uganda","Republic of _","Kampala",2,"",6956,"","",""
"ウクライナ","","キーウ","Ukraine","","Kiev",1,"",8435,"","",""
"ウズベキスタン","_共和国","タシュケント","Uzbekistan","Republic of _","Tashkent",3,"",13204,"","",""
"ウルグアイ","_東方共和国","モンテビデオ","Uruguay","Oriental Republic of _","Montevideo",5,"",2851,"","",""
"エクアドル","_共和国","キト","Ecuador","Republic of _","Quito",5,"",3861,"","",""
"エジプト","_・アラブ共和国","カイロ","Egypt","Arab Republic of _","Cairo",2,"",49,"","",""
"エストニア","_共和国","タリン","Estonia","Republic of _","Tallinn",1,"",6376,"","",""
"エスワティニ","_王国","ムババーネ","Eswatini","Kingdom of _","Mbabane",2,"eSwatini",28040,"","",""
"エチオピア","_連邦民主共和国","アディスアベバ","Ethiopia","Federal Democratic Republic of _","Addis Ababa",2,"",1443906,"","",""
"エリトリア","_国","アスマラ","Eritrea","State of _","Asmara",2,"",27955,"","",""
"エルサルバドル","_共和国","サンサルバドル","El Salvador","Republic of _","San Salvador",4,"",32904,"","",""
"オーストラリア","_連邦","キャンベラ","Australia","_","Canberra",6,"",1119369,"","",""
"オーストリア","_共和国","ウィーン","Austria","Republic of _","Vienna",1,"",74,"","",""
"オーランド諸島","","マリエハムン","Åland Islands","","Mariehamn",1,"Åland",179271,"フィンランド","",""
"オマーン","_国","マスカット","Oman","Sultanate of _","Muscat",3,"",6337,"","",""
"オランダ","_王国","アムステルダム","Netherlands","Kingdom of the _","Amsterdam",1,"",1698820,"","",""
"オランダ領カリブ","","","Caribbean Netherlands","","",4,"",2499745,"オランダ","",""
"ガーナ","_共和国","アクラ","Ghana","Republic of _","Accra",2,"",6961,"","",""
"カーボベルデ","_共和国","プライア","Cabo Verde","Republic of _","Praia",2,"",27948,"","",""
"ガーンジー","","セント・ピーター・ポート","Guernsey","","Saint Peter Port",1,"",131031,"イギリス","",""
"ガイアナ","_共和国","ジョージタウン","Guyana","Republic of _","Georgetown",5,"",19782,"","",""
"カザフスタン","_共和国","アスタナ","Kazakhstan","Republic of _","Astana",3,"",8599,"","",""
"カタール","_国","ドーハ","Qatar","State of _","Doha",3,"",254653,"","",""
"カナダ","","オタワ","Canada","","Ottawa",4,"",1698830,"","",""
"ガボン","_共和国","リーブルヴィル","Gabon","_ese Republic","Libreville",2,"",27958,"","",""
"カメルーン","_共和国","ヤウンデ","Cameroon","Republic of _","Yaounde",2,"",6963,"","",""
"ガンビア","_共和国","バンジュール","Gambia","Republic of The _","Banjul",2,"",257590,"","",""
"カンボジア","_王国","プノンペン","Cambodia","Kingdom of _","Phnom Penh",3,"",613777,"","",""
"ギニア","_共和国","コナクリ","Guinea","Republic of _","Conakry",2,"",6965,"","",""
"ギニアビサウ","_共和国","ビサウ","Guinea-Bissau","Republic of _","Bissau",2,"",27951,"","",""
"キプロス","_共和国","ニコシア","Cyprus","Republic of _","Nicosia",1,"",6946,"","",""
"キューバ","_共和国","ハバナ","Cuba","Republic of _","Havana",4,"",12648,"","",""
"キュラソー","","ウィレムスタッド","Curaçao","","Willemstad",4,"",343280,"オランダ","",""
"ギリシャ","_共和国","アテネ","Greece","_(Hellenic Republic)","Athens",1,"",4381,"","",""
"キリバス","_共和国","タラワ","Kiribati","Republic of _","Tarawa",6,"",44825,"","",""
"キルギス","_共和国","ビシュケク","Kyrgyzstan","_(Kyrgyz Republic)","Bishkek",3,"",30488,"","",""
"グアテマラ","_共和国","グアテマラシティ","Guatemala","Republic of _","Guatemala City",4,"",28790,"","",""
"グアドループ","","バステール","Guadeloupe","","Basse-Terre",4,"",129538,"フランス","",""
"グアム","","ハガニア","Guam","","Hagåtña",6,"",41577,"アメリカ","",""
