category,qid,ja_pageid,en_wiki,lat,lon,ja,en,zh,ko,fr,de,es,pt,it,nl,pl,ru,uk,hu,sv,tr,el,id,vi,th,bn,hi,ar,fa,ur,he
range,Q130135,196685,Atlas Mountains,31.061944444444446,-7.916111111111111,アトラス山脈,Atlas Mountains,阿特拉斯山脈,아틀라스산맥,Atlas,Atlas,Atlas,Cordilheira do Atlas,Atlante,Atlasgebergte,Atlas,Атлас,Атлаські гори,Atlasz,Atlasbergen,Atlas Dağları,Άτλας,Pegunungan Atlas,Dãy núi Atlas,เทือกเขาแอตลาส,এটলাস পর্বতমালা,अतलास पर्वत,جبال الأطلس,کوه‌های اطلس,کوہ اطلس,הרי האטלס
range,Q842139,1341972,Annamite Range,18.59,103.8,アンナン山脈,Annamite Range,安南山脈,안남산맥,Cordillère annamitique,Truong Son,Cordillera Annamita,Montanhas Anamitas,Catena Annamita,Annamitisch gebergte,Góry Annamskie,Чыонгшон,Аннамські гори,,Annamitiska bergskedjan,Annamite Dağları,,Deretan Annam,Dãy Trường Sơn,เทือกเขาอันนัม,,अन्नामी पहाड़ियाँ,الجبال الأنامية,رشته‌کوه اننیت,,הרי אנאמיט
range,Q12431,155147,Pyrenees,42.7,0.6,ピレネー山脈,Pyrenees,比利牛斯山脉,피레네산맥,Pyrénées,Pyrenäen,Pirineos,Pirenéus,Pirenei,Pyreneeën,Pireneje,Пиренеи,Піренеї,Pireneusok,Pyrenéerna,Pireneler,Πυρηναία,Pirenia,Pyrénées,เทือกเขาพิเรนีส,পিরিনীয় পর্বতমালা,पिरेने पर्वतमाला,البرانس,پیرنه,کوہ پائرینیس,הרי הפירנאים
range,Q1286,21699,Alps,46.57805555555556,8.615,アルプス山脈,Alps,阿尔卑斯山,알프스산맥,Alpes,Alpen,Alpes,Alpes,Alpi,Alpen,Alpy,Альпы,Альпи,Alpok,Alperna,Alpler,Άλπεις,Alpen,Anpơ,เทือกเขาแอลป์,আল্পস পর্বতমালা,ऐल्प्स,الألب,آلپ,الپس,הרי האלפים
range,Q1285,1853085,Apennine Mountains,42.469166666666666,13.565555555555555,アペニン山脈,Apennines,亚平宁山脉,아펜니노산맥,Apennins,Apennin,Apeninos,Apeninos,Appennini,Apennijnen,Apeniny,Апеннины,Апенніни,Appenninek,Apenninerna,Apenin Dağları,Απέννινα όρη,Pegunungan Apennini,Appennini,เทือกเขาแอเพนไนน์,,एपेनाइन पर्वत,أبينيني,آپننینی,اپنائن پہاڑ,הרי האפנינים
range,Q5477,32072,Caucasus Mountains,42.5,45,コーカサス山脈,Caucasus Mountains,高加索山脉,캅카스산맥,Caucase,Kaukasus,cordillera del Cáucaso,Cordilheira do Cáucaso,Catena del Caucaso,Kaukasus,Kaukaz,Кавказские горы,Кавказькі гори,Kaukázus,Kaukasus,Kafkas Dağları,Καύκασος,Pegunungan Kaukasus,Dãy núi Kavkaz,เทือกเขาคอเคซัส,ককেশাস পর্বতমালা,कॉकस पर्वत शृंखला,جبال القوقاز,رشته‌کوه قفقاز,قفقاز پہاڑیاں,הרי הקווקז
range,Q167021,202186,Zagros Mountains,33.666667,47,ザグロス山脈,Zagros Mountains,札格羅斯山脈,자그로스산맥,Zagros,Zāgros-Gebirge,Zagros,Cordilheira de Zagros,Monti Zagros,Zagrosgebergte,Zagros,Загрос,Загрос,Zagrosz,Zagros,Zagros Dağları,Όρη Ζάγκρος,Zagros,Dãy núi Zagros,เทือกเขาซากรอส,জগ্রোস পর্বতমালা,ज़ाग्रोस पर्वत,زاغروس,زاگرس,سلسلہ کوہ زاگرس,הרי זגרוס
range,Q5451,13348,Himalayas,29,84,ヒマラヤ山脈,Himalayas,喜马拉雅山脉,히말라야산맥,Himalaya,Himalaya,Himalaya,Himalaias,Himalaya,Himalaya,Himalaje,Гималаи,Гімалаї,Himalája,Himalaya,Himalaya Dağları,Ιμαλάια,Himalaya,Himalaya,เทือกเขาหิมาลัย,হিমালয় পর্বতমালা,हिमालय,هملايا,هیمالیا,ہمالیہ,הימלאיה
range,Q5463,96245,Rocky Mountains,44.15,-113.8,ロッキー山脈,Rocky Mountains,洛磯山脈,로키산맥,montagnes Rocheuses,Rocky Mountains,Montañas Rocosas,Montanhas Rochosas,Montagne Rocciose,Rocky Mountains,Góry Skaliste,Скалистые горы,Скелясті гори,Sziklás-hegység,Klippiga bergen,Rocky Dağları,Βραχώδη Όρη,Pegunungan Rocky,dãy núi Rocky,เทือกเขาร็อกกี,রকি পর্বতমালা,रॉकी पर्वत शृंखला,جبال روكي,رشته‌کوه راکی,سلسلہ کوہ راکی,הרי הרוקי
range,Q5456,15092,Andes,-21.826,-66.698,アンデス山脈,Andes,安地斯山脈,안데스산맥,cordillère des Andes,Anden,Cordillera de Los Andes,Andes,Ande,Andes,Andy,Анды,Анди,Andok,Anderna,And Dağları,Άνδεις,Andes,Andes,เทือกเขาแอนดีส,আন্দিজ পর্বতমালা,एन्डीज़ पर्वत शृंखला,أنديز,آند,سلسلہ کوہ انڈیز,הרי האנדים
